,content
14,一个女人，一直以凡人的血肉之躯出生入死，她从未有过真正意义上的家人，从未和哪个喜欢过的人真正在一起过，最后还为了世界献出生命，死在了那么遥远的地方，死后甚至没有一场体面的葬礼，她的朋友们经过短暂的悲伤之后都像没事人一样几乎不提及她了，最后某人被全世界缅怀铭记的时候她几乎就像不存在过一般，还能再惨点吗？
15,漫画里的奇迹一个接一个，电影里的回扣一层接一层，和一切的起点说再见了。这就是，逻辑无能为力，情感浩瀚有理。对于我个人而言，落点给了美队，心满意足了，从小学的FC横版过关，到90年代初傻乎乎的第一款电影版，收官。穿了整整8年的美特斯邦威美队主题T，也可以，脱掉了。
16,I AM IRONMAN.
17,用多线剧情给自己过去的十年做总结，漫威这波操作很官方了，虽然有几处戳泪的剧情节点，也算不破不立吧…看看后半段大战里那些眼花缭乱的角色，感觉轻轻松松再拍个十年也没啥大问题，处处透露着一边给你递纸巾一边给你展望未来蓝图的野心…不过上一部仓促登场的惊奇队长有点保存实力的意思，大部分高光时刻都给了初代六位，角色与过去告别，观众与角色告别，也算是非常好的谢幕了。不少段落的怀旧范儿也很深得我心，包括对之前十年剧情的回溯，另外结合《复联3》来看灭霸也算是超英电影里诞生的又一个非典型反派，动机太哲学了，这魅力都快赶上隔壁小丑（就是造型输点儿），明显比以往大奸大恶的单细胞反派高出几个等级…给特写的时候差点给人看哭了，有点「壮志未酬」的悲情，总之站在他角度看完全又是另一番滋味，漫威不拍一部《灭霸传》着实可惜了。
19,凡人之躯 比肩神明 最后真的泪目
20,I love you three thousand times.
21,(不剧透，说一下我看复联4的经历) 为了看复联4的零点场，我平时省吃俭用，终于抢到了几百块钱的“皇帝座”，晚上还要翻墙出学校去电影院，看完了以后，还要早起去上课，为了看复联4，我也是拼了！ 此生无悔入漫威！
24,看电影时:为了不剧透，为了更好地向奇异博士学习，那就只夸好看吧。 看完电影后:啊啊啊啊啊啊啊啊，我的黑寡妇，我的钢铁侠。 “我们赢了，史塔克先生！” 接受所有的结局，认认真真地说再见！ I love you three thousand times！我爱你三千遍！ I'm Iron Man.
25,我爱 小罗伯特·唐尼 / 克里斯·埃文斯 / 克里斯·海姆斯沃斯 / 杰瑞米·雷纳 / 马克·鲁弗洛 / 斯嘉丽·约翰逊 以及漫威所有的人！十年青春，感谢有你，此生不悔！！！
27,七刷。午夜场首映观毕，全场掌声雷动，肆意狂欢，私心完美的史诗终结篇，但内心却是七荤八素、五味杂陈。在这一刻情怀可以暂时性的战胜一切，是一次总结，也更像是一次酝酿许久的毕业巡礼。热血、呐喊、震撼、共鸣、感动、不舍与怀念，11年22部电影积累的，所有按耐已久的情绪这在一刻得到彻底的释放与宣泄。多年来一切独属于漫威的记忆犹如昨日重现，历历在目。感谢漫威，给了我们广大超英影迷最美好最弥足珍贵的十年。每段旅程，都有终点，辉煌永存过去，未来来日可期，传奇暂时靠岸停歇，但故事远远没有结束。期待下一个十年，甚至是二十年，来日方长，不说再见～
30,我有一个疑问，一切回到五年前，又不改变这五年发生的一切，那么问题来了，那些失去妻子或者丈夫的，又重新与别人相爱了，现在原配回来了，这怎么处理呀？
31,复仇者联盟4:全员蚁人
32,始于钢铁侠，终于钢铁侠。 晚安，我爱你三千遍。
33,其实我一直不喜欢《复联1-3》，尤其对过度拥挤的战斗场面审美疲劳。《复联4》于我来说是一种巨大的解脱，它不再仰仗战斗场面，而是有足够的时间来处理上一集所带来的影响。你在凝视着时间，时间也在凝视着你。这一集是整个漫威宇宙的顶点，也是漫威十一年旅程的暂告一段落，像一场告别，牵动着观众对他们喜欢的角色和故事的记忆跟情感经历。
34,其实开头是一起宝石引发的血案，农民灭伯伯正在煮东西吃，被一帮亡命之徒闯入，还没有反应过来被大腹便便男子一斧头砍断手，最后被一群不法分子围殴致死，太惨了！ Great job for Marvel Studios ！如同魔戒一样悲喜交加结局才是最完美的，完结就是要疯狂致敬，某公司给我好好看好好学如何用22部电影铺垫一位史诗角色的陨落，这才叫生的光荣死得其所！而不是直接把王炸甩出去！Avengers4商业成功让所有的漫改电影都黯然失色，MCU成功继承了21世纪初XCU和TDK的衣钵，将美漫文化发扬光大。作为历史最成功的超级反派灭霸，罗素兄弟和凯文费奇居功至伟！MCU发展历程就如同一个屌丝逆袭为高富帅，在好莱坞这片神奇地方英雄不问出处。MCU宇宙毫无疑问称得上其他电影宇宙学习借鉴的一个标杆尺度。
35,队长与爱人横亘七十年不能共舞，蚁人与女儿分隔五年未能相见，钢铁侠邂逅父亲期盼新生，雷神遇见母亲不忍分别。时间会给爱情设置衰老的考验，给生命带来变化的乐趣，会让未尽千言凝成一个拥抱，让遗憾万般聚成一场话别。天神拥有肉身，超能沦为凡胎，你是一千四百万分之一的胜利，是三千遍仍未尽的爱。
38,【B+】漫威前所未有的复杂剧本，前所未有的史诗大战，前所未有的英雄悲歌。可以说，直到复联4，漫威才真正发挥出电影宇宙设定的魅力，一种跨越银幕内外的时代沧桑。甚至在其强大的情感力量面前，一切瑕疵和遗憾都可以被原谅了
39,一定要刷IMAX版！在被雷神妈妈“多吃点儿素”和傲娇蚁人“你才在重复说你说过的话，你才…”等段子逗乐之余，《复联4》带我们漂泊于理智与情感的回忆长河，从第一秒就注定感伤。黑寡妇“如果你让我积极的面对生活，我就把三明治砸你脸上”、鹰眼“不要给我希望”、雷神“生命中唯一的永恒就是生命的无常”、钢铁侠“你玩弄时间，时间就会玩弄你”、队长“- ta有家人吗？- 有吧，就是我们了”…止不住的热泪盈眶。“只要有人牵挂过去，就不会接受未来” 十年前《钢铁侠》出来时的惊艳，远远没想到它只是一个小开始。漫威宇宙大到让人猝不及防，看这部的时候在想，再过10年30年，这里面的英雄成为过去和经典，再回忆会是怎样的感慨万千。再见了，超级英雄~
41,今年也要毕业了，漫威这代结束了，TBBT也结束了，权游也结束了，终要离别。
42,我永远地失去了我的英雄 但他直到死的那一刻也是让所有人敬仰的英雄 谢谢让托尼遇到了霍华德 谢谢让史蒂夫赶上了他的约会 谢谢让索尔见到了弗丽嘉 谢谢队长的avengers assemble 感谢圆了他们的梦，也感谢圆了我的梦 感谢有你们的这些年 但是终究还是意难平了，我的初代，我真希望你们都有一个美好的结局
43,“漫威宇宙”电影院播放的电视剧的阶段性大结局。除了片尾回顾角色以外，在“逆转未来”时空穿越的过程中，就完成了一次过往演员的大集结，甚至包括娜塔莉波特曼等本不会再出现的人物。解释了上一集留下的大bug，在大家想象到的结局内有不断的惊喜，在从第15分钟出片名开始，就有卧槽，到后面卧槽不断。没有彩蛋看完了片尾字幕，最后，我爱你3000次。
44,一桶爆米花吃了11年，突然没彩蛋的漫威还真不习惯。再见，英雄们~（罗素兄弟可以试试拍文艺片！）
47,最终能做到这样，已经是很棒的一部阶段尾声作品了，感觉信息量都要爆掉。有燃到炸裂的爽翻天，也有难以阻挡的告别。再见，未来还要再见！
49,最后还是有彩蛋的，最后logo出现时，有敲打铁器的声音，在我的记忆里，那个声音来自《钢铁侠1》中的那个山洞…最后绯红女巫身后的男孩应该来自《钢铁侠3》…不知道说什么好，过去的11年突然有了更深更复杂的意义，一生能够看到一部这样的电影，很值了。
50,星际大联欢，节奏把控得真好，武戏利落，文戏精练，笑点插得自然又精准，三个小时完全不显冗长。最喜欢的是这回整个故事的落脚点：再没有英雄、责任之类的长篇说教，有的只是想在时间长河中追回失物、追回所爱的炽热心情，毕竟最动人的故事不是拯救世界，永远是人与人之间的相遇和离别啊😭
51,11年，历经21部电影的铺垫，终于迎来最后的高潮。并且将它们全部串联在一起，这是史无前例的壮举，令人难以置信。 笑着笑着就哭了，哭着哭着又笑了…… 以“I am Iron Man”开始，又以“I am Iron Man”结束。史蒂夫也赶上了约会圆了人生最大的遗憾。这是最好的漫威，最好的复联。此生不悔入漫威！！！ “Avengers，Assemble”，原以为复联3中瓦坎达大战就足够令人震撼，但这里还比瓦坎达大战强十倍。史诗般的大决战场面，MCU中的巅峰之战，超级无敌燃！！！ 永远的A 6！感谢你们给我们带来的力量和信仰，欢乐和悲伤，惊喜和感动。我爱每一位超级英雄，我爱你们三千遍！！！ 唯一不满的一点，辣鸡罗素，还我托尼·斯塔克！！！
52,一场盛大的终结，即使之前不是漫威粉丝，此刻也不得不惊叹于这场十年布局的精妙和野心。本质上是升级综合版的《逆转未来》，但是看到一幕幕曾经惊艳到我们的场景出现，不由得心生感慨，也不禁会思考，如果我们拥有回到过去的能力，会对过去的自己和想见的人说些什么？又是否能改变什么？从这个角度来说，这部终局之战更像是一部人性之作，它在探寻人在面临失去后的选择与处境，责任的担当与传承，当然还有必不可少的牺牲精神，随着惊奇队长的加盟，女权精神也得到了更为明显的展现。到最后还是落得白茫茫大地真干净，从谁身上引出的传奇自然由谁结束，娜塔莎在提到因为超级英雄这份工作变得更好的真情流露，可能也是所有演员们的心声。毕竟这22部作品确实承载了太多意义。
53,1我觉得就我个人而言，应该是漫威最好的一部，因为完成了十年的收官，做到了为所有人补全属于自己的那一面，不留遗憾。 2这电影不太符合豆瓣电影欣赏水平吧，但是在我们这个年代这样现象级的电影，是很完美的。算是青春吧。 3如果你觉得不好看，那说明确实不是拍给你看的。 4CP女孩哭泣之夜。 5爱你三千遍。
55,看到一半电影院停电 也是6死了 2刷才发现 黑寡妇才是值得尊重 其他人都要放弃的时候 她坚持在基地 一分钟后见 平安回来
57,老三巨头谢幕；为什么铁人要拿最高片酬；美队最强地球人“实锤”、70年前那支舞终究兑现了；论中年大叔的垮掉从有啤酒肚开始；反派终于面目可憎了；女权主义者的盛宴；女巫最赞不接受反驳；对漫画有呼应和斯坦李最后一次出境了；前作里的伏笔也基本上都接上了。作为21部一路看过来的人，表示挺圆满的了。
59,想打五星，也想给一星。
61,“You can rest now.” 太过沉重的结局。各种意义上的，见证了一个时代的结束。
62,买到了《复联4》预售票，一个人去电影院凌晨三点多看完电影一个人回去，很酷吧。所有你看过的剧情猜测都是错的，所有的伏笔和细节都圆满了。我的初心六人组，最后都获得了完美的归宿。不剧透什么，祝每一个在生活中一腔孤勇的我们，观影愉快。
63,一个带有缺憾的句号。
65,愿每个人都能成为自己平凡之路上的超级英雄。
66,粉丝看了落泪，路人看了爆笑。腐女看了高潮，直男看了热血。漫威粉看了鼓掌，DC粉看了抱拳。
67,很难承认，2019年度十佳将出现一部超级英雄电影。悲壮、史诗、深情，这些不曾存在于漫威字典里的词，在这终章中得以展现。对路人来说，这是一部逻辑自洽、节奏有序、编排得当的商业大作，对粉丝来说这是一场情怀至上的青春告别仪式。无疑，这是漫威11年最好的结局。另片尾其实是有彩蛋的（仔细听）。
68,1 > 4 > 2 > 3
71,I love you three thousand.
72,看之前别化妆了姐妹们，能哭掉你十层粉
73,五颗星都给妮妮和寡姐，他们必须有姓名！！！！罗素兄弟，你们两个糟老头，坏的很。
74,1.我的漫威电影之旅从钢铁侠开始，也是从那一刻开始，他成了我最喜欢的漫威角色！2.影片精巧串联了系列作品，前面不疾不徐铺排线索，最后恢宏磅礴高潮迭起，非常满意，数次热泪盈眶！3.对于自己而言，这是一场告别，一个完美的完结！
76,为了造各种情绪效果、为了剧情必须走向某个点，为了让某些人活或死，故事已经无视逻辑了，为此只能送两个字：春晚。
78,到终局罗素兄弟已经不是导演工作而是平衡工作了。平衡各角色戏份，平衡与前作的联系，平衡每部分情节时长分配，平衡特写交代与恢弘场景，最后平衡粉丝感情。基本在这些框架都搭好之后，也就没有时长再磨细节了。彩蛋梗不是情节细节谢谢。
80,很难承认，2019年度十佳将出现一部超级英雄电影。悲壮、史诗、深情，这些不曾存在于漫威字典里的词，在这终章中得以展现。对路人来说，这是一部逻辑自洽、节奏有序、编排得当的商业大作，对粉丝来说这是一场情怀至上的青春告别仪式。无疑，这是漫威11年最好的结局。另片尾其实是有彩蛋的（仔细听）。
82,为了造各种情绪效果、为了剧情必须走向某个点，为了让某些人活或死，故事已经无视逻辑了，为此只能送两个字：春晚。
83,看之前别化妆了姐妹们，能哭掉你十层粉
84,到终局罗素兄弟已经不是导演工作而是平衡工作了。平衡各角色戏份，平衡与前作的联系，平衡每部分情节时长分配，平衡特写交代与恢弘场景，最后平衡粉丝感情。基本在这些框架都搭好之后，也就没有时长再磨细节了。彩蛋梗不是情节细节谢谢。
85,五颗星都给妮妮和寡姐，他们必须有姓名！！！！罗素兄弟，你们两个糟老头，坏的很。
86,1.我的漫威电影之旅从钢铁侠开始，也是从那一刻开始，他成了我最喜欢的漫威角色！2.影片精巧串联了系列作品，前面不疾不徐铺排线索，最后恢宏磅礴高潮迭起，非常满意，数次热泪盈眶！3.对于自己而言，这是一场告别，一个完美的完结！
87,漫威用美妙的方式串联起前21部影片，每个我们熟悉的人物都散发着前所未有的光芒，感觉复联4不是一部电影，而是一场属于英雄们的授勋典礼。
88,"世间所有的相遇，都是久别的重逢。首日二刷，IMAX+杜比，漫威宇宙的节点，初代复仇者谢幕，角色退役前与过往的叙旧，也带领观众完成记忆上的二次共情，整部电影就是大彩蛋，无数漫威宇宙梗个中体会，结尾更燃到极点，怎能不泪流满面。从电影的角度，该片不算完美，但谁在乎，情怀的力量，这才是“我们的10年”，承载的是一起走过的青春。结局是遗憾的，因为有人离去，但残缺,也算一种美，为了让我们更好的铭记，爱你三千遍"
89,I AM IRONMAN
90,《复仇者联盟之漫长的告别》，勒保斯基的梗我能笑一天。
91,这一集打斗少，对话多，时间线穿越设计的很合理，很多之前系列电影的情怀，老玩家看了非常有代入感。两小时对话，一小时打斗，最后打戏精彩，集结的场面很热血。漫威十年，一代人的爱
92,"零点场，全球第一批观众之一。天啊我要给罗素兄弟疯狂打call，我相信所有漫威迷们你们想得到想不到的一切，在这里你都可以看到。哭过笑过，十年一梦。Each and everyone gets a closure, about past, about current, about future. 这是真正的史诗！已经很难在电影范畴来评价它了，这完全是给所有漫威粉丝的tribute。全片到处都是梗，真的是要补全全部MCU过往电影才能理解啊。然后最后也终于说出了那句这么多年来始终都没能喊全的、完整的——Avengers assemble! Enough, that’s enough...【PS：郑肯、真田广之和导演兄弟之一乔·罗素都来轧了个小角色，更不要说斯坦·李的最后的客串，全场飙泪鼓掌。】"
94,此生无憾
95,4.2星。漫威为电影宇宙第一个十年画上了一个圆满的句号。1.漫威拿手好戏之一就是能把泪点笑点调和得宜。2.应该是漫威过去十年最为复杂的剧本。3.漫威十年到底谁是第一男主？本片给出了答案，所有设定走向结局是对漫威宇宙第一个十年最好的致敬和总结。4.美国翘臀绝非浪得虚名。5.灭霸果然和其他妖艳贱货反派脑回路不一样。6.每个人都有足够的理由加入终局之战，为了各自的挚爱。7.关键词：真假美猴王、周芷若舞屠龙刀、李莫愁联手小龙女。8.废章并非没有，结尾的处理也并不算完美，但在本片的完成度和里程碑意义的情怀加成下，可以忽略。
96,从来没有哪一部电影打怪需要开这么多主角光环呐！同样一波怪复联一五个人就打了！编制严重冗余！你们港是不是这个道理！
101,朋友们，你们还在这里么？你们还记得复仇者联盟么？ 你们过得还好么？ 十多年了，当我偶尔遇到一个陌生人，发现他也看超级英雄电影时，我会欣喜若狂，与他畅谈半天。 尽管他看的是DC。 不看漫威，怎会懂它带给我们的感动。 《复仇者联盟4》上映的那一天，与那么多漫威粉丝欢聚一堂，已经值回票价了。
102,I'm iron man 我爱你三千遍
106,结局真的挺意外的，美队和钢铁侠之间的情愫、寡姐与鹰眼之间的感情，还有发生巨大变化的雷神和绿巨人、搞笑担当的蚁人和银河护卫队都是电影中最靓丽的风景线。每个传奇都有终点，正所谓善始善终，我觉得漫威做到了。离别是为了下一次能更好的再见，我相信有些时候说了再见就一定会再见。谢谢漫威，谢谢你们，Avengers。敲到这里不知怎的眼泪悄无声息的流下来了，这种感觉可能只有影迷们才会明白吧。十年青春，十年漫威。十年变化很大，十年我从一个什么也不懂的孩子变成了青年，十年我得到了至爱又失去了爱情，十年真的能让一个人改变很多。哎，想说的话太多。哎，真的很感谢你们，真的。
114,真不好划分什么叫剧透，那么就单纯表白一下我最爱的美队吧，尽管他的一生大部分时间都是悲剧，可他一直是那个激励别人的人，仿佛他不会有丝毫脆弱。就像灭霸打完响指之后，有的人沉沦，有的人自责，有的人逃避，他却带着微笑鼓励每一个普通人move on。实际上，他才是那个永远无法move on的人，他一直活在过去，虽然他有了那么多新朋友，有那么多人需要他，但他毕生所求，无非是兑现那一支舞的承诺。
116,雷神没退休 死肥宅天下第一 堡垒之夜天下第一 反复痛击星爵引满室喝彩 时间穿梭严重违反祖父悖论，时间线应该属于不同的平行宇宙 不存在每个人永远消失，既然开了一次时间秘籍，过去的人是可以穿越回来的 你是这十年漫威最伟大的英雄 爱你三千遍，千千万万年
118,里程碑意义之作，节奏紧凑情绪跌宕，战争场面宏大壮观，各种跨时空前后呼应让人惊喜连连。时间旅行的解释和执行都够干脆利落，全程无瑕疵。笑点和悲情处都足够分量，因漫长的铺垫而愈加隽永及挥散不去的惆怅。惊叹漫威能把超级英雄电影系列拍到如此程度，这本身就是一场超现实版的终极成人童话。
120,最好的漫威，最好的复仇者们
129,我不接受我要求重拍！！！ 灭霸就是太着急纠正自己的错误 他应该悄悄记下来 跟着时间线走在第一次集齐宝石打响指的时候 不灭掉一半而是全灭掉 他就赢了。
130,应该说故事的走向和人物的结局和我猜的差不多。后半个小时，影院里好几个女生已经哭的泣不成声了，我对影片倒没啥特别的感受，只是回想起看《钢铁侠1》时正好是大学的毕业季，也是不由得感慨，什么东西加上时间这一纬度，意义立即就变了啊。
132,灭霸穷尽一生只为一个平衡的宇宙。看到他最后坐在那等待命运的降临，我的心都碎了。
133,我以后不看美漫了，行了吧。ಥ_ಥ // 而且一到超英之类的话题系列，能感觉到豆瓣管理员滥用权力的行为。
134,关于影片内容的讨论已经太多，无需多言，而《复联4》存在的意义其实更多是在于昭示漫威式的商业格局已达大成之境。 十年的布局已经从某种程度上彻底打破了电影和电视剧之间的藩篱，养成了无数粉丝用追剧的心态去常年的追逐一个主题的电影。他们无怨无悔地涌向零点场，他们用防火防盗的心态去防剧透，即使是在电影之外，漫威也在改变着现代人的娱乐生活，这无疑是革命性的。 有人说漫威宇宙就是我们这个时代的“星球大战”，而我觉得它虽比不上星战系列的石破天惊，却比星战系列更具战略眼光。《复联4》是一场完美的谢幕，亦是一个充满期待的起点。
135,4星+1。 11年，22部电影。从2008年那句“我是钢铁侠”诞生而布局的漫威宇宙，一路走来，所有的回忆都汇入《复联 4》的三个小时之中。 电影展开剧情的手段，也许在你看完《复联3》之后就能依稀猜到。的确，也没有别的方法再来复活他们。但即便是新壶装旧酒，《复联4》仍是一部充满了趣味与感伤，且并没有生硬煽情的作品。 作为一列串联起漫威11年的“情怀过山车”，客观而言，《复联4》并非尽善尽美，但它仍将之前的所有作品中所预埋的包袱发挥了出来。它是我个人心目中的“漫威宇宙至今最佳”。
136,刷了三遍，切身体验为，零剧透+IMAX+粉丝场为最佳观感。作为一部全民情怀向的终章，有遗憾但很圆满，每位观众对自己喜欢角色投入的感情决定了他们各自对复联4的理解，利用穿越时空来回溯过去是对观众十一年支持最好的礼物，那些意想不到的惊喜就像彩蛋一样埋在正片里，令人兴奋。漫威这个阶段的成功，离不开全球观众对一代复联倾注的感情，他们像家人一样，成为永驻我们内心的角色。
137,I love you three thousand times.这么多超级英雄里，其实最喜欢蚁人了，诙谐、市井，还带有几分俗气。这才是你我这等凡人熟悉的人间烟火啊。
138,漫威十年，岁在己亥，暮春之初，会于世界各地之影院，修禊事也。群贤毕至，少长咸集。仰观宇宙时空之随意穿越，俯察超级英雄之数量众多，所以游目骋怀，足以极视听之娱，信可乐也。
140,凌晨三点看完，花了十五分钟离开电影院，此刻只想尽快回到家，抱抱熟睡中的女儿和爱人。
144,《复联4之颜值大逆转》：惊队之前有多丑，现在就有多帅；雷神之前有多帅，现在就有多丑……影片质量不用多说，史诗、高燃、悲壮！
145,故事和超级英雄都有落幕的那一天，旧的故事业已结束，新的故事正要开场。让我们在回忆的小径上多走几步，旧友重相逢，想做超级英雄的人成为了真正的超级英雄，失落的时光也在另一个平行宇宙被重新拾起，没有比这更好的结局了。
147,全是和解与放下，全是欢笑与泪水。电影因为故事太面面俱到所以不完美甚至有些粗糙，然而依然感谢漫威陪伴的这些年。
148,最后还是有彩蛋的，最后logo出现时，有敲打铁器的声音，在我的记忆里，那个声音来自《钢铁侠1》中的那个山洞…最后绯红女巫身后的男孩应该来自《钢铁侠3》…不知道说什么好，过去的11年突然有了更深更复杂的意义，一生能够看到一部这样的电影，很值了。
149,"我爱所有的初代复仇者们，真的不忍心就这样终结了。漫威创造了你们，你们也成就了今天的漫威，感谢你们给了我们如此美好的青春记忆，love you all！！！！ 寡姐就值一个5星了，i used to be alone , then i got a family，爆哭(´;︵;`)"
150,泪别英雄的同时，别忘了那只老鼠，没有它，后面一切都是扯淡......这是一次串起此前多部电影情节点满情怀燃泪齐飞的严重粉丝向落幕，普通观众观影压力甚大，请尽可能重温之前的21部电影，尤其是《复仇者联盟》《雷神2》《美国队长2》《奇异博士》《银河护卫队》《复仇者联盟3》《蚁人2》... 文戏相当走心，但对于一个文戏占绝对比重的落幕片来说，本片的最后一战虽然很燃却有种达不到尽情释放的遗憾，许多英雄只是大景别里的一个模糊身影一闪而过，冲着罗素兄弟一贯的高水准动作戏去期待是会有些落差的 。9/10
153,果然蚁人是是扭转一切的关键，不过怎么看都像个民科
154,在另一个平行宇宙里，Loki还活得好好的。。
155,罗素兄弟难得拍出这么多怀旧又伤感的文戏，绝对是一部跳出框架，充满创新的超英电影。但作为一部穿越电影，却简单了些。没有时空悖论，让所有黑暗的可能性，从源头被掐掉，把故事控制在一个直线的范畴中。但其实穿越最吸引人之处不是改变未来，而是弥补过往，从这个角度来说，罗素的处理又无可厚非。
156,我不知道复联4最终能打破多少票房纪录，但我知道今天肯定打破了上班请假人数的纪录。
157,我是来分析票房的，估计在30到35亿之间……原因有3点， 1复联3票房23.9亿，惊奇队长票房10亿，按照这个算法大概有三分之二的人看了复联3没有看惊奇队长，漫威的片子要连续看才连贯，这些没看的人估计在等网上高清，很遗憾现在23号了，我看了下网上还是没有高清版，只有偷拍版，这个因素或多或少会影响一些人去看 2复联3是150分钟复联4是180分钟，多了半小时，这就意味着相对复联3每天会少排一场，少一场总的收人会少很多 ，不排出票价涨但是最多前10天， 3还是时间问题，180分钟三个小时，说实话一般的路人尤其是妹子真的很难坐的住的，这部分观众会流失不少的…反正本人已经贡献了24号的125元的IMAX票
158,一想到灭霸还统治着宇宙，我就寝食难安//我恨剧透，害我从头哭到尾，看到灭霸vanish就还挺悲情的
162,无处不在的告别复调。一个超级英雄概念的完整生命周期。这集里开始的钢铁侠和最后的雷神合体的话，会产生什么超级英雄知道吗？弹簧人贝尔。
165,要是没星爵，哪来的复联四？大家还不感谢他！！！🤣单论电影本身不怎么样，但情怀满分！
166,穿越往昔场景是对漫威电影十一年历程的一次大回顾，兼具情怀与笑点能充分享受每一个或曾淡忘的细节。夺回消逝的战友再度集结起全明星阵容时，所有铺垫随情感在此一刻爆发开来，当年六人小队，如今千军万马，走到这一步戏里戏外都堪称奇迹。两大支柱双双谢幕标志着一个时代的终结，虽说旧的不去新的不来，但复联4已经像是划下句号般遗憾而圆满，很难再以与过去相同的心情去期待今后MCU的展开了。
169,抹完眼泪还是想说，Lebowski的梗我能笑一年
170,B / 超低配《云图》×《头号玩家》的“元”MCU超英片。漫威用一种暴露其庞大文本运作机制的无耻方式，从颓废的虚无到崇高的战斗再重新建立起和平的轮回假像，全方位赤裸裸地炫耀了它作为虚假的消费符号如何将我俘获并用最后一镜轻描淡写地戳破这场“出窍”的梦境。仿佛空海最终找到了“无上密”，加菲最终潜入《银湖之底》，我似乎也意识到了自己观看的一片空洞不过是自己内心稚嫩的成长史，可是我到底长大了没有呢？
171,复联4是对所有经典时空旅行题材电影的重大颠覆，有一套较为独立且自圆其说的穿越观，超级英雄会老会死，但是他们后继有人，真·妇联诚不欺我，惊队短发A爆了，美队终于补上了欠佩吉的一舞，更补上了欠自己的一生，托尼·史塔克，我会永远记得你的名字叫钢铁侠
173,你们有星战，他们有星际迷航，而我们有复联。壮烈如同史诗，让人热血沸腾。辉煌过后，总是落幕。复联是黑寡妇的家庭，是美队的梦想，是雷神的救赎，是钢铁侠的守护，是蜘蛛侠的爸爸。
174,当我们抬头仰望那些星云诡谲尘土飞扬的战争奇观，差点都忘记了这些:他的每一次出发，都准备好将以凡人之躯去熄灭远征的战火；他的每一次执盾，都宣告着要以钢铁之心来承受百年的孤寂。天神之子召唤着雷电，唤不回至亲一次回眸；灵魂之巅手握着宝石，抓不住此生最后拥抱。 拂开金灿的光圈，归来的是那些来不及告别的面容；穿越量子的宇宙，却再也无法走到你的身边。纽约大战的旋转镜头再起，眼泪伴随着年轻的号角簌簌落下。 大雨滂沱的罪恶城市有人握住你的手，荒芜废墟的流浪地球有人守候着银河中你的方向，沧海桑田的光阴背后有人爱慕你一生的容颜，终局之战的新兴世界有人怀抱着你的爱继续前行。 这不是最完美的收官作品，这只是最深情的告别仪式。始终坚守自己、为爱全力以赴，这便是最好的人生，无须重头再来。
175,感谢《复仇者联盟3：无限战争》里「星爵」背黑锅打「灭霸」头的那三拳、「雷神」最后没有劈到 「灭霸」的头……所以我们现在能看到《复仇者联盟4：终局之战》。—— 看过N次零点首映，还是第一次看半夜3点15分场次的电影，也算是成就了一次特别的观影经历。—— 前面人物众多、线索庞杂的文戏感觉对冲着看爆米花动作片的路人可能不太友好，但追过漫威电影宇宙系列电影的粉丝（比如一部不落的我）应该会倍感亲切，当《复仇者联盟》《银河护卫队》……等等曾经熟悉的电影桥段画面、演员角色接二连三相继出现时，真是给我一波又一波的惊喜；而在《X战警：逆转未来》式的剧情铺垫后，最终《指环王》感的终局之战更是看得我热血沸腾。—— 去年的《复联3》自己花钱买了4张IMAX场的影票，今年的《复联4》如愿完成3刷IMAX版的计划。
