,content
143,你要说给1星吧，肯定招黑，最后乱战怎么也值2星。姑且三星吧。漫威这套电影使得近十年商业电影有了捷径。这时期又是国内娱乐生活的爆发期，也就是看电影的人多了。对所谓的英雄崇拜。对于我们从80-90年代看少年漫画和游戏长大的来说。无论人物还是剧情都没什么特色，无非看看特效。无剧情与所谓的情怀支撑起了系列。我也不是都不喜欢，博士和蚂蚁就很好看，人物命运的改变，比较具有戏剧性。内战也不错，美队有几段挺不错的。不过复联系列，杂糅个人经历的大排档，在我看来很正义联盟也差不多。我觉得有几部独立英雄电影更好看。黑寡妇的间谍，博士的魔法世界大战，蚁人对抗犯罪组织，如果能有续作，我会很开心的。
146,不是很好看…剧情拖沓，感情戏又臭又长又乱……泪点没有燃点没有就只那几个镜头很好笑…惊奇队长就是个扛飞船的伙夫看不懂她存在的意义。喜欢的英雄还是很可爱的✊
151,好的地方也有，但不好的地方也特别显眼……
152,那些出生入死的CP，最后，死的死，肥的肥，剩下的搓堆儿搞BG老婆孩子热炕头，这样一看，死和肥也不失为侥幸
159,这电影拍得不像是一家大型影视公司的憋了很久的阶段性答卷，反而像一家濒临倒闭的影视公司为了在倒闭前最后一次回馈老客户而强行凑出来的作品。/看完之后瘫在凳子上有种说不出的寂寞， 老人居然全部一下子退场了而不是陆续退场，并且并没有培养出靠谱的接班人，接下来你们打算怎么拍呢？/其实还是可以拆成两部讲得清楚一点。
160,灭霸死的时候竟然让我有些伤感？如果对妇联有感情，最好就把3当成终点，4像大学毕业时的合影时间。人在学校，可心早已不在。往往最值得回忆的竟然是大三那段回忆。灭霸就是我们主任。你个响指我的毕业证就没戏了……
164,1、量子领域、量子纠缠、灵魂宝石、平行时空…… 这些完全可以发展出崭新世界观的有趣设定全部丢掉，退行到无聊至极的“回到过去”梗，整一个“回顾漫威十年大彩蛋” ；2、阿灭干掉全宇宙半数生灵，其他星球的人在干嘛呢？坐等惊队救赎吗？不来围剿阿灭吗？没有，一个铁人就够了，为了情怀抛弃世界观合理性和戏剧想象力，拍MV即可；3、所有角色都沦为龙套，在头号玩家式的大混战里丢丢斧头打打手枪，就算完成这些人物的交代了吗？未来漫威的主角就是一个毫无性格、毫无设定、背后站着一群女权簇拥的惊奇队长了吗？收官之作可以继往，不用开来了吗？漫威影业停运了吗？4、结果复仇者联盟是一个不怎么用心思考，只知道维持眼前伪善怀旧温情的右派保守主义蠢货，令人完全失去了对他们的共情，并为阿灭遗憾。一个时代终结，希望下一个能更有勇气
167,群英荟萃，萝卜开会。喂，物价局？
168,给自己十年的情怀买个单，怀念自己打五星时代的漫威，真的对迪斯尼流水线严重审美疲劳，这次还给我带水分的，迪斯尼完美诠释什么叫流量电影，其实这部电影看的重点就是那些明星偶像超英说说话蹦蹦跳跳而已，观众不断告诉自己这是最后看到这个看到那个，祭奠自己的青春，抛开这些真的没有什么亮点，电影并不是很出色，甚至有些无聊，我有时候很羡慕那些流量明星的粉丝，他们一定很幸福，看自己的偶像都是最美的最好的，可惜我做不到了，以后没有美队 钢铁侠 雷神可以轻松告别漫威。
172,大多数的剧情朝着既定已知的方向发展，情绪是真，套路卖情怀也是真；Marvel对Gwyneth真的是亲女儿了，片尾咖位那么后面，而且当中还有一句和Downey的台词是推销影后的那个不知所谓的“Goop”生意，我:??? 最触动的是Peter Parker递给Carol手套那里，数代女性角色得以（接近）全员集结，虽然画面定格不过几秒又略形式，但从最开始的花瓶配置常换常新，到发出声量的惊队等更多，她们同样走过了太多。*To every AWESOME sheroes*
180,超级英雄、电影主创和影迷观众完成了一场超大型告别会，英雄有了各自归宿，主创完成各自使命，影迷告别各自青春。欢笑也好，泪水也罢，在时间面前都混合成彼此心有灵犀的感动，复仇者联盟的最后一战不负众望。但是，抛开所有自我感动的情怀，在二刷《复仇者联盟4终局之战》之后，我发现我无法再对影片产生连接，我发现影片更像一个时长三小时的美剧，前期回顾+时空穿越+下回分解。我不得不佩服罗素兄弟的缜密设计，所有影迷想要的他们都做到了，甚至还隐藏不少惊喜，但也因此我能看到扣在影片上牢牢的枷锁。《复仇者联盟4终局之战》是一部合格的水准之上的作品，它给了角色与影迷最好的交代，但缺乏令人难以忘怀的电影之独立自由的灵魂。
182,所有人都出现了，但没等来范冰冰和王学圻，所以我哭了……
183,可能只有我心疼惊奇队长吧，别人是人设崩塌，她是没有人设
188,感觉终于从这个系列里解脱了。绿幕电影从根本上讲欠缺的并不是现实感或现实主义，而是欠缺阿甘本所说的将现实“提纯”过程，它从诞生起就是高度纯净的，全程亦受到精密的控制，尽管这样的效果美轮美奂，但我真的是受够了。
198,算是罗素超常发挥了吧 ★★★☆
211,人多，场面大，平铺直叙，给大家都争取了个露脸机会，只能说安全上垒，勉强及格，没有任何惊喜。说真的不是粉丝就别专门去看了，我这样每部不落的看完感觉也就那样。9分8分的太可笑了，感觉做成这样也挺贵的吧？给个7.5分不能再多了。
229,就像是一场大餐最后的压轴甜点，努力满足所有需求，努力挽回所有遗憾，努力搅合所有想法。薄薄的糖壳裹着玻璃碴，玻璃碴盖不住剧情漏洞和人设矛盾，所有人物都留下了意难平，这电影凭什么拿到豆瓣9.1分？
233,好一场宇宙量子时空。。。橄榄球？？？
237,初代英雄集体谢幕，对十年漫威企划的圆满作结。巨星阵容太臃肿，情怀需求攒得太满，已经严重挤压了故事空间，这个结局对所有主演和漫威来说都是一次彻底解放。就拿这集来说，穿越做得实在太敷衍和潦草了。当然，将22部融会贯通回顾一遍必定感人至深，迪士尼和漫威在IP经营上确实是全球的老大哥。除元老外其他基本都是客串，我奇异博士戏份就少得可怜，已经尽量将各方面考虑平衡到最好了吧。
238,用最笨拙的方式自我致敬，可是逻辑Bug让我夜不能眠。英雄集结总是来得太晚，至少证明了灭霸是个彻头彻尾的恶棍大Boss，“不要听他说什么，关键看他做什么”！
242,好吧迪斯尼你赢了……再有续集不会去看了。感觉是大数据编剧，谁的粉丝多就给谁发便当？四分之一的人都不知道谁是谁。。。粉丝向电影，发了好多糖。
248,其实根本没有什么好剧透的，黑寡妇个人格斗能力估计还不如徐浩峰，牺牲她换来灵魂宝石是最经济的。钢铁侠和美国队长早就宣布不续约了，不是死就是退休。后半段的大决战在特效上也是乏善可陈，还没有复仇者联盟3好看。漫威这样再拍下去真的来不动了。
266,非漫威粉说句老实话会被打吗？《复联4》的冗长无聊，人物的拥挤，足以让这部大结局成为一部非常平庸的作品。
274,《复仇者联盟4:终局之战》消解并重构了“超级英雄”所代表的含义，回望并告别了那些记忆尤深的人与事，这是结束，也是开始。
281,其实和十来年前漫画市场上发生的事情没有多大的区别，漫威凭借更加贴近生活的英雄策略占领市场，DC则沉湎于过去的荣光不能自拔，偶尔拿出些好东西却又随手抛弃。那时的我，多半会嘲笑如今这个平心静气面对偶像化英雄的我吧，然而他并不知道，在他眼里怎么都不够顺眼的黑暗骑士才是他梦想的神话时代最后的余晖，如今一切都更糟糕了。MCU这个阶段的结束，希望，是超级英雄重新对正义发出疑问的开始（金刚狼和蝙蝠侠不能再TMD继续缺席了！）。
284,对漫威电影实在是无感，表白黑寡妇。
285,看了。有点长，不耽误大家时间我就剧透下结尾，蝙蝠侠最后没死。
288,我上一篇豆瓣影评是写给DC的，其实写了一半篇幅给漫威，还写了一个细节，可能很多人不记得，漫威宇宙的第一部电影《钢铁侠》，早于美国本土三天首映，你可以从象征意义上去认为，漫威宇宙诞生于中国。这就是为什么漫威系列不管多烂，总是排片满满，总是没道理的高分，这是十年青春的结集，周星驰给不了的，漫威填满了。当然，超英电影我就看个乐呵，虽然我也一部不拉地看齐了，但大多数是自己一个人看的，以至于谁出场都没唤起我任何情怀，我吃过的快餐太多，论最好吃的快餐嘛，就，对付生活而已了，实在没有必要感叹啊 。
300,从钢铁侠1到现在，姑且算圆满收工吧，从开始的惊喜到现在的疲倦，可能罗素兄弟水平也就这样了，商业考虑大于剧情合理性的电影。不过好歹漫威成了，之后应该也不会有这样的成功了。 你自己的时间穿越也就这个水平啊，何苦嘲笑别人呢。 最后的大战，好看在哪里？组了一个妇联？
301,只值三十块…
319,"时间线乱成翔了一堆bug 气死我了（本来美队一句avengers assemble我都要哭惹（ps.竟然还有银翼杀手梗，以及是“I love you, 3000”不是“I love you 3000 times”（？"
322,22部至少睡了15部那种，最后一部没睡是最大的尊重了。
323,根本不用别人透，这片完全可以自己剧透自己，只要掌握几个推理前提：第一，片酬贵、合约到期的都会体面退场，越贵越体面；第二，后续电影和三部曲还没拍完的不会有事，还得留点伏笔；第三，女性和少数族裔肯定政治正确，但迪斯尼价值观不会允许任何BG结局和回归家庭以外的可能性。然则肥宅和妈宝招你惹你了嗯？结尾“真妇联”堪称最大笑点。三星。
339,当最后团战所有女性角色一齐出现对抗敌人的时候。只有她，一个人去了那个冰冷的世界。
343,基本就是我上小学时就跟同桌比谁的圣斗士贴纸上人多的水平。
346,挺好，忘记过去，就不能改变未来…所有恶势力也都会化作飞灰，跟赵无极一样飘来飘去
357,还是熟悉的罗素处理角色的方式，安排谁死谁就死，非常强行毫无逻辑。这部里崩人设的也一大堆，呵呵。
358,灭霸提前退休的故事
369,我不仅不气，我还看得有点开心。虽然三巨头人设血崩，镜头毫无美感，剧情简单无脑，三个小时的时常完全是因为叙事太啰嗦节奏太慢所致，但是——但是打斗大场面呀，就像是回到了超英漫画的基础，关公战秦琼，众好汉各展所长，轻舒猿臂款扭狼腰，哇呀呀一通乱打，打就完事了。再撒上一点催泪的感情戏和一点其实get不到笑点的笑话，齐活。至于什么剧情设定什么人物弧光，就当是在放屁好了。没期待，没失望。
384,这个片的主要观众应该是12岁左右儿童，最后一部毫无惊喜
391,阐述了一个完整明确的命理观：只有必然发生的未来，没有可被逆转的过去，因而英雄牺牲悲剧的神性才能够永恒地延续下去。★★★
401,简直非常家庭情节剧了。
412,那么多人去打一个老农民挺搞笑，话说回来，也只有漫威粉能熬过前面两个多小时然后还要吹
413,史塔克的女儿真是可爱极了，可惜万万没想到临东城史塔克的后台就这么绝后了。
418,队长线的合理结局难道不该是历尽劫难、久别重逢的队长和Bucky在小酒馆里的吧台前并肩而坐，就像1944年死别之前的那一幕吗？圆了与卡特共舞的心愿，过普通人的生活，拥有平凡的幸福，也就放弃了责任。的确，这个时间里不再有队长了。因为队长可以没有很多，唯一不能没有的就是他的责任感，在他还是个瘦弱的布鲁克林小个子时，他就有着最坚定的责任感。因此，我绝对不承认结尾作出那种决定的队长是队长。你真的懂得“老兵不死”的意味吗？
423,谁能想到，时间机器里同时走出来那么多合同到期的英雄……
424,中规中矩，就是随便随便回忆全员露几下脸而已，算是基本收尾了，有点失望，时间穿越原理和为什么原石都能重启宇宙却不能复活死人都被糊弄过去了，惊奇队长这个角色真是仓促又突兀，美队玩九头蛇的梗还行，电影开始前买一送一拿了两杯奶茶，美队拿起锤子那一刻差点尿崩
426,1.美队亮眼！2.所谓第三阶段终结的仪式感过于强烈(以及勉强) 牺牲故事本身 3.大决战一锅粥 完全没掌控好 4.商业片才是电影的精髓 好看的艺术片多如牛毛 好看的商业片则寥寥无几
430,身为漫威多年粉我这三星给的都勉强，超级英雄大片看多了导致看每个笑点都在导演前期漫长的铺垫镜头磨光了耐心，我只有一个“一点也不好笑”的表情面对它们。 以及有些趴真是bug的厉害 鹰眼本来在山崖上吊着后面又在水里醒过来 小蜘蛛五年还是高中生 他的校友也是吗 总有人毕业了吧！如果你说不看逻辑爽就行了，尼玛不看逻辑的片子你给我打9分？？？ 何况爽吗？？？？？ 这结局你告诉我叫爽？？？爽到砸放映屏，罗素兄弟再见
431,几个闪光时刻敌不过官方炒冷饭带来的煽情导向；这次片尾真的没有彩蛋 全程1.90:1满屏 IMAX09
434,每次看漫威都会睡一会…
435,3.5 开头把穿越电影都嘲讽了一遍，结果自己的bug比谁都多？？
436,感谢天，感谢地，感谢你们，终于完了。
437,没啥好看的
449,还不如不看，上集大结局就可以了。铺垫了这么久，这就完事了。
459,单独给最后一小时4星
461,无话可说 稍微好一点我都能闭着眼睛吹 这次真的太烂了 毕竟他们演的这么辛苦还是给个三星吧 真的很可惜 我觉得RDJ也会觉得可惜吧
462,粉丝情怀应该大满足，但非粉丝就会被平铺直叙每个人都要顾到的节奏拖得有点心累。
463,英雄集结那一段还是有小小感动和热血，和前几部一样，整个故事基本没有让人惊喜的地方，套路化的剧情，叙事，表演，抒情。仅作为一路追来的这个系列的终结，似乎也没有对于完结的感慨和不舍。
468,钢铁侠正犹豫之际，奇异博士伸一支手指示意：“合约到期啦！最后一部啦！别墨迹，赶紧哒！”……灭霸为了理念牺牲自己，一个响指，无差别减少一半生物；钢铁侠为了亲友牺牲自己，一个响指，实现了有针对性的种族灭绝……话说灭霸想干的事，不就是《流浪地球》开头的牺牲三十五亿然后拯救苍生么？
469,人设崩塌强行塞笑料很没意思，bug这么多还怎么好意思提别的时间穿越片。虽然以后很难看到这样的阵容开开心心操场打架了有点难过，但是还是不想因此加一星
471,营销做的真好，商业价值也太大了吧 漫威还有粉丝，哈哈哈(ಡωಡ)hiahiahia
476,并没有被感动，估计是美国漫改的煽情套路先天免疫。（漫威英雄背后的国家想象）
478,天了噜，罗素兄弟坐实美队gay粉了。托尼可以死，锤哥可以变肥宅，美国翘臀必须给特写！至于其他角色的生平，罗素不想了解，也不感兴趣靴靴。锤哥太惨了真的：锤哥失去的只是爸爸妈妈姐姐弟弟，以及阿斯加德，反观某些人失去的是爱情啊
481,看哭了是因为角色，罗素还是一如既往的boring
490,六分，不能再高了。别被里面钢铁侠死给煽动，到不了九分，这就只是一部合格的爆米花片
493,群战的第一个画面还行，但大多数时间的剧本都让我觉得WTF。电影撕下了灭霸虚伪的面具，却无法赋予集结的英雄们如同《指环王》中一般的崇高。
497,没想到会为一直声称很讨厌的钢铁侠流泪
498,其实我睡着了一小阵。但今次有点get美国队长，最喜欢的是督爷。
